Category	Term	PValue	Description	Count	%	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0050873	0.037891442	brown fat cell differentiation	3	0.742574257	"P07550, Q3ZCB2, P02190"	331	32	34287	9.71119713	1	0.972162364	46.77201038
GOTERM_BP_DIRECT	GO:0002086	0.037947948	diaphragm contraction	2	0.495049505	"Q6P7A9, P07550"	331	4	34287	51.79305136	1	0.964834542	46.82302074
GOTERM_BP_DIRECT	GO:0007169	0.038535113	transmembrane receptor protein tyrosine kinase signaling pathway	6	1.485148515	"Q9FL63, Q60787, F1N9Y5, P0CY46, O45539, O35460"	331	192	34287	3.23706571	1	0.958745211	47.35036896
GOTERM_BP_DIRECT	GO:0045786	0.040084937	negative regulation of cell cycle	3	0.742574257	"O88513, P70677, Q15262"	331	33	34287	9.416918429	1	0.956003052	48.71882353
GOTERM_BP_DIRECT	GO:0034394	0.040084937	protein localization to cell surface	3	0.742574257	"Q15262, A6QR55, O35460"	331	33	34287	9.416918429	1	0.956003052	48.71882353
GOTERM_BP_DIRECT	GO:0009409	0.040887644	response to cold	4	0.99009901	"O65639, P07550, O82345, Q3ZCB2"	331	79	34287	5.24486596	1	0.950729329	49.41439894
GOTERM_BP_DIRECT	GO:0031398	0.044850556	positive regulation of protein ubiquitination	4	0.99009901	"P07550, O62640, Q13489, O35460"	331	82	34287	5.05298062	1	0.956493217	52.72051659
GOTERM_BP_DIRECT	GO:0043066	0.046408931	negative regulation of apoptotic process	10	2.475247525	"Q5ZIM6, P70677, Q5BKL8, Q60HG7, P18406, Q13489, P20749, Q3ZCB2, Q63184, O35460"	331	485	34287	2.135795932	1	0.954227444	53.9641557
GOTERM_BP_DIRECT	GO:0061400	0.047208432	positive regulation of transcription from RNA polymerase II promoter in response to calcium ion	2	0.495049505	"D4A7U2, Q8VHI4"	331	5	34287	41.43444109	1	0.94966495	54.59020357
GOTERM_BP_DIRECT	GO:1904263	0.047208432	positive regulation of TORC1 signaling	2	0.495049505	"P53290, Q03897"	331	5	34287	41.43444109	1	0.94966495	54.59020357
GOTERM_BP_DIRECT	GO:0044861	0.047208432	protein transport into plasma membrane raft	2	0.495049505	"P30622, Q61037"	331	5	34287	41.43444109	1	0.94966495	54.59020357
GOTERM_BP_DIRECT	GO:1903078	0.047208432	positive regulation of protein localization to plasma membrane	2	0.495049505	"Q01082, P70569"	331	5	34287	41.43444109	1	0.94966495	54.59020357
GOTERM_BP_DIRECT	GO:0006468	0.054000547	protein phosphorylation	16	3.96039604	"Q9FL63, Q9Z1J2, Q9WTK7, F1M5M3, P49657, Q63184, O01761, F1N9Y5, Q60737, Q811L6, O45539, P57078, Q8S9L6, P18293, P49760, Q5ZKI0"	331	981	34287	1.68947772	1	0.962193868	59.59559119
GOTERM_BP_DIRECT	GO:0006751	0.056380045	glutathione catabolic process	2	0.495049505	"Q8WUX2, B3STU3"	331	6	34287	34.52870091	1	0.96218355	61.22306878
GOTERM_BP_DIRECT	GO:0072661	0.05923051	protein targeting to plasma membrane	3	0.742574257	"D3ZSI8, Q01082, Q28740"	331	41	34287	7.579470931	1	0.963196902	63.09164481
GOTERM_BP_DIRECT	GO:0006898	0.065718334	receptor-mediated endocytosis	6	1.485148515	"Q13492, Q9UGM3, P07550, Q5ND28, A6H7G2, P34709"	331	224	34287	2.774627751	1	0.970676977	67.03426042
GOTERM_BP_DIRECT	GO:0046777	0.06627853	protein autophosphorylation	7	1.732673267	"Q60737, Q8BKX6, P49760, Q9WTK7, Q8NEV4, Q63184, Q5ZKI0"	331	295	34287	2.457975319	1	0.967404457	67.35545845
GOTERM_BP_DIRECT	GO:0016579	0.066519123	protein deubiquitination	5	1.237623762	"A6QR55, O57429, Q6QN14, A5WWB0, Q09738"	331	158	34287	3.278041225	1	0.96345348	67.49250238
GOTERM_BP_DIRECT	GO:0042384	0.06793032	cilium assembly	6	1.485148515	"Q5R573, Q6NVF0, A4FUY9, Q568D2, Q059U7, Q3B7D3"	331	226	34287	2.750073524	1	0.961654516	68.28552298
GOTERM_BP_DIRECT	GO:0009414	0.072483046	response to water deprivation	3	0.742574257	"O65639, Q9C983, P40241"	331	46	34287	6.755615395	1	0.965535547	70.72189661
GOTERM_BP_DIRECT	GO:0007530	0.074460048	sex determination	2	0.495049505	"Q9Y091, P34709"	331	8	34287	25.89652568	1	0.964841443	71.72418257
GOTERM_BP_DIRECT	GO:0030241	0.074460048	skeletal muscle myosin thick filament assembly	2	0.495049505	"A2ASS6, O01761"	331	8	34287	25.89652568	1	0.964841443	71.72418257
GOTERM_BP_DIRECT	GO:1902004	0.074460048	positive regulation of beta-amyloid formation	2	0.495049505	"Q13492, Q3TCV3"	331	8	34287	25.89652568	1	0.964841443	71.72418257
GOTERM_BP_DIRECT	GO:0007507	0.075354633	heart development	7	1.732673267	"Q92824, P70677, A2ASS6, Q8K2Y9, Q6R8J2, Q61037, P02190"	331	305	34287	2.377385964	1	0.962386078	72.16704643
GOTERM_BP_DIRECT	GO:0001701	0.079448059	in utero embryonic development	6	1.485148515	"Q6NVF0, A2ASS6, Q9HCD6, Q8K2Y9, Q647I9, O35460"	331	237	34287	2.62243298	1	0.965189593	74.11170442
GOTERM_BP_DIRECT	GO:0016567	0.082403149	protein ubiquitination	12	2.97029703	"Q86TM6, O75382, P68907, Q0D2K2, O62640, Q9C026, Q13489, Q8GYP8, Q80T74, Q5RGB8, O95714, D3YYI7"	331	708	34287	1.755696656	1	0.966039404	75.43549171
GOTERM_BP_DIRECT	GO:0002315	0.083370115	marginal zone B cell differentiation	2	0.495049505	"P55281, P20749"	331	9	34287	23.01913394	1	0.963966965	75.85467699
GOTERM_BP_DIRECT	GO:0034121	0.083370115	regulation of toll-like receptor signaling pathway	2	0.495049505	"O62640, Q13489"	331	9	34287	23.01913394	1	0.963966965	75.85467699
GOTERM_BP_DIRECT	GO:0048813	0.084689462	dendrite morphogenesis	4	0.99009901	"Q13492, Q80TZ9, Q9VCU9, O17798"	331	107	34287	3.872377672	1	0.962438841	76.41579861
GOTERM_BP_DIRECT	GO:0008104	0.090226126	protein localization	4	0.99009901	"Q9XUC2, Q05793, Q61037, Q9VEN1"	331	110	34287	3.766767372	1	0.966938456	78.63977235
GOTERM_BP_DIRECT	GO:0035865	0.092194663	cellular response to potassium ion	2	0.495049505	"D4A7U2, Q8VHI4"	331	10	34287	20.71722054	1	0.966399974	79.38188964
GOTERM_BP_DIRECT	GO:0042853	0.092194663	L-alanine catabolic process	2	0.495049505	"Q28DB5, Q8TD30"	331	10	34287	20.71722054	1	0.966399974	79.38188964
GOTERM_BP_DIRECT	GO:0000381	0.095402257	"regulation of alternative mRNA splicing, via spliceosome"	3	0.742574257	"Q9Y091, P26599, Q15459"	331	54	34287	5.754783484	1	0.967445461	80.53949124
GOTERM_BP_DIRECT	GO:0007264	0.096486835	small GTPase mediated signal transduction	7	1.732673267	"Q5R573, Q9C3Y4, P15498, P55040, Q3V1N1, Q9XUC2, P62491"	331	326	34287	2.224241469	1	0.96584854	80.9169037
GOTERM_BP_DIRECT	GO:0007267	0.097836243	cell-cell signaling	4	0.99009901	"Q92824, P07550, Q9U3P2, P18406"	331	114	34287	3.634600095	1	0.964599415	81.37688168
