Category	Term	PValue	Description	Count	%	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0036398	0.040725067	TCR signalosome	2	0.495049505	"Q60787, Q9WTK7"	364	4	35106	48.22252747	0.999999304	0.724427441	43.24604599
GOTERM_CC_DIRECT	GO:0031430	0.045611058	M band	3	0.742574257	"Q01082, A2ASS6, O01761"	364	33	35106	8.767732268	0.999999878	0.734622917	47.06015852
GOTERM_CC_DIRECT	GO:0070062	0.047527053	extracellular exosome	39	9.653465347	"Q9UGM3, Q6P7A9, Q01082, Q9JI19, Q96RW7, Q9WTK7, Q6EE31, Q8K0U4, P40241, Q5RDQ2, Q15075, Q05793, Q9Y3C5, P98160, Q66K08, Q9HCK4, Q9Z339, Q6NVF0, P00639, A2ASS6, Q501P1, P70569, P79110, F1M5M3, Q6P5P5, P62491, P02190, Q8BFR5, Q9UI33, P25291, Q90875, P0C0A2, P26599, E9Q7P9, Q8K157, A6H7G2, Q8WYP5, Q91Y63, O35460"	364	2776	35106	1.354955743	0.999999939	0.721202594	48.48989168
GOTERM_CC_DIRECT	GO:0005622	0.049403958	intracellular	25	6.188118812	"Q5R573, Q6ZN16, Q16975, Q6P1C1, Q6BH66, A8MT70, Q811L6, Q9NYT6, Q02975, Q28C33, Q80VI1, O75382, Q9C3Y4, Q24498, Q9H0K4, P62491, Q9GZU5, Q8AVG0, Q8BFR5, P15498, Q3V1N1, P18293, Q14416, E7FAM5, Q8BVC4"	364	1617	35106	1.49111093	0.999999969	0.708897814	49.85569076
GOTERM_CC_DIRECT	GO:0031012	0.074102776	extracellular matrix	7	1.732673267	"Q9BXX0, Q63415, Q96RW7, P18406, Q05793, P98160, Q66K08"	364	282	35106	2.394026187	1	0.826275698	64.96859037
GOTERM_CC_DIRECT	GO:0005604	0.078935628	basement membrane	5	1.237623762	"Q8NDA2, Q96RW7, Q05793, P98160, Q9Z339"	364	156	35106	3.091187658	1	0.826647433	67.37928804
GOTERM_CC_DIRECT	GO:0005796	0.078950156	Golgi lumen	3	0.742574257	"Q92824, Q05793, P98160"	364	45	35106	6.42967033	1	0.807884823	67.38629727
GOTERM_CC_DIRECT	GO:0005769	0.090683242	early endosome	7	1.732673267	"O75382, Q6NVF0, P07550, Q8IVG5, Q15075, A6H7G2, Q9Y3C5"	364	298	35106	2.265487868	1	0.834848582	72.6130568
GOTERM_CC_DIRECT	GO:0005865	0.098732188	striated muscle thin filament	2	0.495049505	"A2ASS6, Q76LL6"	364	10	35106	19.28901099	1	0.845209034	75.73739267
GOTERM_CC_DIRECT	GO:0042734	0.099650707	presynaptic membrane	4	0.99009901	"Q13492, Q9VYN8, A1XQX0, Q14416"	364	107	35106	3.605422615	1	0.833003248	76.07211053
