Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR006212:Furin-like repeat	3	0.742574257	0.068605233	"Q92824, P0CY46, Q63415"	381	44	38977	6.975125268	1	0.714674845	66.68424104
INTERPRO	"IPR017907:Zinc finger, RING-type, conserved site"	7	1.732673267	0.071364151	"Q80VI1, O75382, P68907, D2GXS7, Q9C026, E7FAM5, Q8TDB6"	381	296	38977	2.419300206	1	0.721909886	68.17816494
INTERPRO	IPR001452:Src homology-3 domain	7	1.732673267	0.071826225	"Q5RDQ2, P15498, O45539, Q5ZMW5, A6H7G2, O01761, P70248"	381	297	38977	2.411154414	1	0.717095254	68.42216091
INTERPRO	IPR011993:Pleckstrin homology-like domain	11	2.722772277	0.073088466	"P0C0A2, Q01082, Q6ZV73, Q9VZZ9, P15498, B4NZ70, Q5ZMW5, Q8K2Y9, O14924, Q8AVG0, O01761"	381	601	38977	1.872412995	1	0.716484357	69.07979301
INTERPRO	"IPR008271:Serine/threonine-protein kinase, active site"	13	3.217821782	0.073801548	"Q16974, Q60737, Q6ZN16, Q811L6, Q16975, Q9Z1J2, Q8S9L6, P57078, P49760, Q9WTK7, P49657, Q63184, Q5ZKI0"	381	766	38977	1.736193061	1	0.713146461	69.44562563
INTERPRO	"IPR000884:Thrombospondin, type 1 repeat"	4	0.99009901	0.074608115	"Q8JGT4, Q96RW7, P18406, Q66K08"	381	100	38977	4.092073491	1	0.710368125	69.85453797
INTERPRO	IPR009138:Neural cell adhesion	2	0.495049505	0.075391132	"Q8NDA2, Q9HCK4"	381	8	38977	25.57545932	1	0.707553935	70.24660986
INTERPRO	IPR001681:Neurokinin receptor	2	0.495049505	0.075391132	"P30975, P30974"	381	8	38977	25.57545932	1	0.707553935	70.24660986
INTERPRO	IPR001849:Pleckstrin homology domain	8	1.98019802	0.075812235	"Q01082, Q6ZV73, Q9VZZ9, P15498, B4NZ70, Q5ZMW5, Q8AVG0, O01761"	381	375	38977	2.182439195	1	0.703033603	70.45548675
INTERPRO	"IPR020837:Fibrinogen, conserved site"	3	0.742574257	0.07978268	"Q24K15, Q5I2E5, O35460"	381	48	38977	6.393864829	1	0.715657129	72.35860672
INTERPRO	"IPR001969:Peptidase aspartic, active site"	3	0.742574257	0.07978268	"P27822, P0CT41, P0CT37"	381	48	38977	6.393864829	1	0.715657129	72.35860672
INTERPRO	IPR006650:Adenosine/AMP deaminase active site	2	0.495049505	0.084407308	"Q9DBT5, Q6GP70"	381	9	38977	22.73374162	1	0.730282033	74.43057995
INTERPRO	"IPR013024:Butirosin biosynthesis, BtrG-like"	2	0.495049505	0.093335794	"Q8WUX2, B3STU3"	381	10	38977	20.46036745	1	0.760904315	78.02627924
INTERPRO	IPR000219:Dbl homology (DH) domain	4	0.99009901	0.094862609	"Q6ZV73, P15498, Q8AVG0, O01761"	381	111	38977	3.686552694	1	0.760890748	78.59162721
